Mon, 27 Jun 2016 02:56:00 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: false, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:01 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:02 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:03 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:04 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:05 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:06 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:07 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:08 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:09 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:10 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:11 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:12 +0300 Senzor fum armat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:13 +0300 Senzor fum declansat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:14 +0300 Senzor fum declansat, alarma: false, alimentare energie electrica: true, lumini urgenta: false, aspersoare: false, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:17 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:18 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:19 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:20 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:21 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:22 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:23 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:24 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:25 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:26 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:27 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:28 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:29 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:30 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:31 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:32 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:33 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:34 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:35 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
Mon, 27 Jun 2016 02:56:36 +0300 Senzor fum declansat, alarma: true, alimentare energie electrica: false, lumini urgenta: true, aspersoare: true, ventilatie: 0.0
